CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WXDi-P08-001,アグレッシブな夜,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-001.jpg,ピース,-,白,-,-,《無》×２,-,-,-,-,メインフェイズ,0,-,-,0,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたの場に青のルリグがいる場合、対戦相手の手札を見て１枚選び、捨てさせる。その後、あなたの場に緑のルリグがいる場合、【エナチャージ３】をする。その後、あなたの場に黒のルリグがいる場合、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－15000する。,-
WXDi-P08-002,Colorful　Wish,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-002.jpg,ピース,-,赤,-,-,《無》×１,-,-,-,-,メインフェイズ,0,-,-,0,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたの場に白のルリグがいる場合、あなたのトラッシュから《ガードアイコン》を持つシグニ１枚を対象とし、それを手札に加える。その後、あなたの場に緑のルリグがいる場合、対戦相手のパワー10000以上のシグニ１体を対象とし、それをバニッシュする。その後、あなたの場に黒のルリグがいる場合、あなたのトラッシュからレベル２のシグニとレベル３のシグニをそれぞれ１枚まで対象とし、それらを手札に加える。,-
WXDi-P08-003,ウルトラスーパーヒーローズ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-003.jpg,ピース,-,青,-,-,《無》×１,-,-,-,-,メインフェイズ,0,-,-,0,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたの場に白のルリグがいる場合、あなたのデッキの上からカードを５枚見る。その中からカードを２枚まで手札に加え、残りを好きな順番でデッキの一番下に置く。その後、あなたの場に赤のルリグがいる場合、対戦相手のパワー12000以下のシグニ１体を対象とし、それをバニッシュする。その後、あなたの場に黒のルリグがいる場合、対戦相手のデッキの上からカードを１０枚トラッシュに置く。,-
WXDi-P08-004,舞イ踊リ色紬,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-004.jpg,ピース,-,緑,-,-,《無》×２,-,-,-,-,メインフェイズ,0,-,-,0,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたの場に白のルリグがいる場合、対戦相手のシグニ１体を対象とし、それを手札に戻す。その後、あなたの場に赤のルリグがいる場合、あなたのレベル３以上のシグニ１体を対象とし、ターン終了時まで、それは【アサシン】を得る。その後、あなたの場に青のルリグがいる場合、対戦相手のルリグ１体を対象とし、それを凍結する。,-
WXDi-P08-005,デス・ビーム・ディーヴァ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-005.jpg,ピース,-,黒,-,-,《無》×２,-,-,-,-,メインフェイズ,0,-,-,0,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたの場に赤のルリグがいて対戦相手のセンタールリグがレベル３以上の場合、対戦相手は自分のエナゾーンからカード３枚を選びトラッシュに置く。（２枚以下の場合、それらをすべて選ぶ）その後、あなたの場に青のルリグがいる場合、カードを３枚引く。その後、あなたの場に緑のルリグがいる場合、あなたのシグニ１体を対象とし、ターン終了時まで、それは【ランサー】を得る。,-
WXDi-P08-006,リセット・メモリア,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-006.jpg,ピース,-,無,-,-,《無》×０,-,-,-,-,メインフェイズ,0,-,-,0,カードを１枚引く。ターン終了時まで、対戦相手のすべてのシグニは能力を失う。（このピースの後に場に出たシグニはこの効果の影響を受けない）,-
WXDi-P08-007,ゆかゆか☆さ～ん,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-007.jpg,ルリグ,ゆかゆか,白,3,《白》×２,-,6,-,-,きゅるきゅるーん☆,-,0,-,-,0,【自】：対戦相手のシグニ１体がアタックしたとき、対戦相手が《無》を支払わないかぎり、ターン終了時まで、そのシグニは能力を失う。【出】：対戦相手のシグニ１体を対象とし、それを手札に戻す。【起】《ゲーム１回》《白×0》：以下を３回行う。「対戦相手が手札を１枚捨てるか《無》を支払わないかぎり、あなたは自分のデッキの上からカードを３枚見る。その中からカードを１枚まで手札に加え、残りを好きな順番でデッキの一番下に置く。」,-
WXDi-P08-008,エルドラ×マークν,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-008.jpg,ルリグ,エルドラ,青,3,《青》×２,-,6,-,-,-,-,0,-,-,0,【常】：あなたのライフクロスとチェックゾーンにある【ライフバースト】を持たないカードは【ライフバースト】「どちらか１つを選ぶ。①カードを１枚引く。②【エナチャージ１】」を得る。【出】：対戦相手のライフクロスの一番上を公開する。あなたはそのカードと対戦相手のデッキの一番上のカードを入れ替えてもよい。【起】《ゲーム１回》《青×0》：あなたのライフクロス１枚をクラッシュする。そうした場合、あなたのデッキをシャッフルし一番上のカードをライフクロスに加える。,-
WXDi-P08-009,結団の決断　アン＝サード,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-009.jpg,ルリグ,アン,緑,3,《緑》×２,-,6,-,-,-,-,0,-,-,0,【出】：あなたのエナゾーンからシグニを２枚まで対象とし、それらを手札に加える。【起】《ターン１回》《緑×0》：あなたのエナゾーンにあるカード１枚を対象とし、ターン終了時まで、それは【マルチエナ】を得る。【起】《ゲーム１回》《緑×0》：対戦相手のシグニのうち、最も高いパワーを持つすべてのシグニを手札に戻す。,-
WXDi-P08-010,トライアングル/メイデン　イオナ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P08-010.jpg,ルリグ,イオナ,黒,3,《黒》×２,-,6,-,-,-,-,0,-,-,0,【出】：あなたのトラッシュからシグニ１枚を対象とし、それを場に出す。【起】《ターン１回》デッキの上からカードを２枚トラッシュに置く：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。【起】《ゲーム１回》《黒》《無》：次の対戦相手のターンの間、対戦相手のシグニは可能ならばアタックしなければならない。そのターン終了時、そのターンにアタックしていたすべてのシグニをバニッシュする。,-
