CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WX12-001,永らえし者　タウィル＝フェム,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-001.jpg,ルリグ,タウィル,白,5,《白》×３,-,12,-,-,-,-,0,-,-,0,【常】：このルリグはこのカードの下にあるルリグの【起】能力を持つ。【自】：対戦相手のシグニ１体がアタックしたとき、手札から＜天使＞のシグニを２枚捨ててもよい。そうした場合、そのアタックしているシグニはこのアタックであなたにダメージを与えない。【自】：あなたのターン終了時、トラッシュから＜天使＞のシグニ１枚を対象とし、それを手札に加える。,-
WX12-002,紅蓮乙女　遊月・肆,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-002.jpg,ルリグ,ユヅキ,赤緑,4,《赤》×１《緑》×１《無》×１,-,11,-,-,-,-,0,-,-,0,【自】：対戦相手のアタックフェイズ開始時、あなたのライフクロスが３枚以上ある場合、このターン、あなたはゲームに敗北しない。【出】：あなたのエナゾーンからすべてのカードをトラッシュに置く。あなたのデッキの一番上のカードをライフクロスに加える。【起】《ターン１回》《メインフェイズアイコン》《アタックフェイズアイコン》《無》：このターン、あなたのすべての領域にあるカードは【ライフバースト】【エナチャージ１】を持つ。,-
WX12-003,コード・ピルルク　ＶＥＲＭＩＬＩＯＮ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-003.jpg,ルリグ,ピルルク,青黒,4,《青》×１《黒》×１《無》×１,-,11,-,-,-,-,0,-,-,0,【自】《ターン１回》：あなたがスペルを使用したとき、対戦相手のシグニ１体を対象とし、それをダウンし凍結する。【出】：あなたのデッキからスペル１枚を探して公開し手札に加え、デッキをシャッフルする。【起】《アタックフェイズアイコン》《無》《無》：あなたの手札からコストの合計が２～４の青か黒のスペル１枚を、そのコストを支払って使用する。（カードの左上に書かれているコストのみを参照する）,-
WX12-004,龍導波,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-004.jpg,アーツ,-,赤,-,-,《赤》×１《緑》×１,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,対戦相手のシグニ１体を対象とし、あなたのライフクロス１枚をクラッシュする。そうした場合、それをバニッシュする。あなたのセンタールリグが＜ユヅキ＞で、この方法でクラッシュしたカードが【ライフバースト】を持っていた場合、あなたのデッキの一番上のカードをライフクロスに加える。（ライフバーストはアーツの処理後に発動する）,-
WX12-005,クトゥル・コール,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-005.jpg,アーツ,-,黒,-,-,《黒》×１《白》×１《無》×１,-,-,-,-,アタックフェイズ,0,-,-,0,以下の２つから１つを選ぶ。あなたのセンタールリグが＜タウィル＞か＜ウムル＞の場合、代わりに２つまで選ぶ。①対戦相手のセンタールリグかシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。②あなたのトラッシュから白か黒のシグニ１枚を対象とし、それを場に出す。,-
WX12-006,緑肆ノ遊　フリーフォール,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-006.jpg,レゾナ,精武：遊具,緑,4,-,-,-,15000,アイヤイ限定,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》合計３枚の＜遊具＞のシグニをあなたの手札とエナゾーンからトラッシュに置く【自】《ターン１回》：このシグニがアタックしたとき、あなたのシグニ１体を対象とし、それをアップする。【自】：あなたのシグニ１体がアップ状態になったとき、このシグニをアップする。,-
WX12-007,感慨の巫女　ユキ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-007.jpg,ルリグ,イオナ,白,3,《白》×２,-,8,-,-,-,-,0,-,-,0,-,-
WX12-008,開きし者　タウィル＝トレ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-008.jpg,ルリグ,タウィル,白,3,《白》×１《黒》×１,-,7,-,-,-,-,0,-,-,0,【自】：このカードがエクシードのコストとしてルリグトラッシュに置かれたとき、このターン、対戦相手はシグニを２体までしか場に出すことができない。（すでに場に３体ある場合は２体になるようにシグニをトラッシュに置く）,-
WX12-009,クリスタル・ブレイク,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-009.jpg,アーツ,-,白,-,-,《青》×１,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,対象の対戦相手の凍結状態のシグニ１体をバニッシュする。あなたのセンタールリグが＜リメンバ＞の場合、追加で対象の対戦相手の凍結状態のシグニ１体をバニッシュする。,-
WX12-010,ホワイトメイズ　ホデサパ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-010.jpg,レゾナ,精械：迷宮,白,4,-,-,-,12000,イオナ限定,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》《アタックフェイズアイコン》白のシグニ１枚と黒のシグニ１枚をあなたの手札から捨てる【常】：対戦相手のシグニは可能ならばアタックしなければならない。【自】：対戦相手のシグニ１体がアタックしたとき、ターン終了時まで、そのシグニのパワーを－2000する。【出】：対戦相手のすべてのシグニを好きなように配置し直してもよい。あなたはこの方法で他のシグニゾーンに移動したシグニをアップしてもよい。,-
