CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WXDi-D01-001,紡ぎし扉　アト＝ノル,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-001.jpg,ルリグ,アト,緑,0,《緑》×０,-,0,-,-,アンシエント・サプライズ,-,0,-,-,0,-,-
WXDi-D01-002,紡ぎし扉　アト＝エット,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-002.jpg,ルリグ,アト,緑,1,《緑》×０,-,2,-,-,アンシエント・サプライズ,-,0,-,-,0,-,-
WXDi-D01-003,紡ぎし扉　アト＝トヴォ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-003.jpg,ルリグ,アト,緑,2,《緑》×１,-,5,-,-,アンシエント・サプライズ,-,0,-,-,0,-,-
WXDi-D01-004,紡ぎし扉　アト＝トレ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-004.jpg,ルリグ,アト,緑,3,《緑》×２,-,6,-,-,アンシエント・サプライズ,-,0,-,-,0,【チーム】＜アンシエント・サプライズ＞【チーム起】《ターン１回》《緑×0》：それぞれ異なるクラスを持つあなたのシグニ３体を対象とし、ターン終了時まで、それらのパワーを＋３０００する。【出】：【エナチャージ２】をする。この方法でエナゾーンに置かれたカードが共通するクラスを持たない場合、追加で【エナチャージ１】をする。,-
WXDi-D01-005,目醒めし者　タウィル＝ノル,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-005.jpg,ルリグ,タウィル,赤,0,《赤》×０,-,0,-,-,アンシエント・サプライズ,-,0,-,-,0,-,-
WXDi-D01-006,タウィル＝ハウリング,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-006.jpg,アシストルリグ,タウィル,赤,1,《無》×０,-,0,-,-,アンシエント・サプライズ,メインフェイズ,0,-,-,0,【出】：対戦相手のパワー８０００以下のシグニ１体を対象とし、それをバニッシュする。カードを１枚引き、手札を１枚捨てる。,-
WXDi-D01-007,タウィル＝カラーズ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-007.jpg,アシストルリグ,タウィル,赤,2,《無》×１,-,1,-,-,アンシエント・サプライズ,メインフェイズ,0,-,-,0,【出】：あなたの場に赤のシグニがある場合、対戦相手のパワー１００００以下のシグニ１体を対象とし、それをバニッシュする。青のシグニがある場合、カードを２枚引く。緑のシグニがある場合、【エナチャージ２】をする。（あなたのデッキの上からカードを２枚エナゾーンに置く）,-
WXDi-D01-008,奏救の鍵主　ウムル＝ノル,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-008.jpg,ルリグ,ウムル,青,0,《青》×０,-,0,-,-,アンシエント・サプライズ,-,0,-,-,0,-,-
WXDi-D01-009,ウムル＝ドロー,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-009.jpg,アシストルリグ,ウムル,青,1,《無》×０,-,0,-,-,アンシエント・サプライズ,メインフェイズ,0,-,-,0,【出】：カードを２枚引く。,-
WXDi-D01-010,ウムル＝ダウン,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-D01-010.jpg,アシストルリグ,ウムル,青,2,《無》×１,-,1,-,-,アンシエント・サプライズ,メインフェイズアタックフェイズ,0,-,-,0,【出】：対戦相手のシグニ１体を対象とし、それをダウンする。【出】《青》《無》：対戦相手のシグニ１体を対象とし、それをダウンする。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,-
