CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WXK08-001,ドリーム・トライアングル,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-001.jpg,アーツ,-,白赤青,-,-,《白》×３,-,-,-,-,アタックフェイズ,0,-,-,0,あなたのセンタールリグが＜にじさんじ＞の場合、このアーツの使用コストは《白×2》減る。以下の３つから２つまで選ぶ。①対戦相手のシグニを２体まで対象とし、《白》を支払ってもよい。そうした場合、ターン終了時まで、それらは能力を失う。②シグニ１体を対象とし、《赤》を支払ってもよい。そうした場合、それをバニッシュする。③シグニ１体を対象とし、《青》を支払ってもよい。そうした場合、それをダウンし、カードを１枚引く。,-
WXK08-002,歌舞熱曲,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-002.jpg,アーツ,-,赤,-,-,《赤》×３《無》×１,-,-,-,-,アタックフェイズ,0,-,-,0,あなたのセンタールリグが＜タウィル＞の場合、このアーツの使用コストは《赤×2》減る。以下の３つから１つを選ぶ。①あなたのトラッシュから赤のシグニ１枚を対象とし、ターン終了時まで、それの基本レベルを１にする。それをレベル１のシグニとして場に出す。ターン終了時、それを場から手札に戻す。②シグニをパワーの合計が10000以下になるように２体まで対象とし、それらをバニッシュする。③あなたの赤のセンタールリグ１体を対象とし、ターン終了時まで、それは能力を失い「【自】《ターン２回》：このルリグのアタックが【ガード】されたとき、このルリグをアップする。」を得る。,-
WXK08-003,グリモワール・ブラスト,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-003.jpg,アーツ,-,黒,-,-,《黒》×３《無》×１,-,-,-,-,アタックフェイズ,0,-,-,0,あなたのセンタールリグが＜ナナシ＞の場合、このアーツの使用コストは《黒×2》減る。以下の３つから２つまで選ぶ。①あなたのトラッシュからシグニ１枚を対象とし、それを【ライズ】を無視して場に出す。それの【出】能力は発動しない。②対戦相手のレベル３以下のシグニ１体を対象とし、それをバニッシュする。③対戦相手のシグニ１体を対象とし、このターンに対戦相手がアーツかスペルを使用していた場合、それをトラッシュに置く。,-
WXK08-004,永遠の鍵　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-004.jpg,キー,-,白,-,-,《コイン》×１《白》×２,-,-,-,-,-,0,-,-,0,【常】：あなたのセンタールリグは以下の能力を得る。【起】《アタックフェイズアイコン》エクシード２：対戦相手のシグニ１体を対象とし、それを手札に戻す。【起】《アタックフェイズアイコン》エクシード２：対戦相手のセンタールリグ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。【起】《コインアイコン》《コインアイコン》このキーを場からルリグトラッシュに置く：あなたのルリグトラッシュからアーツ１枚を対象とし、それをルリグデッキに加える。,-
WXK08-005,ぶりっつあーや！,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-005.jpg,キー,-,青,-,-,《コイン》×２,-,-,-,-,-,0,-,-,0,アタックフェイズの間、あなたのセンタールリグのレベルが対戦相手のセンタールリグより低いかぎり、このキーは《アタックフェイズアイコン》を得る。【常】：あなたのセンタールリグは以下の能力を得る。【起】《スペルカットインアイコン》エクシード１：スペル１つを対象とし、それの効果を打ち消す。【起】《アタックフェイズアイコン》エクシード２：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。【出】：対戦相手のシグニ１体を対象とし、それをデッキの一番上に置く。,-
WXK08-006,月ノ美兎　レベル３´,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-006.jpg,ルリグ,にじさんじ,白,3,《白》×２,-,7,-,-,-,-,0,-,-,0,【出】：登録者数を２０万人得る。【出】：【エナチャージ１】,-
WXK08-007,月ノ美兎　レベル３´´,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-007.jpg,ルリグ,にじさんじ,白,3,《白》×２,-,6,-,-,-,-,0,-,-,0,【出】：登録者数を２０万人得る。【出】：カードを１枚引く。,-
WXK08-008,月ノ美兎　レベル２´,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-008.jpg,ルリグ,にじさんじ,白,2,《白》×１,-,4,-,-,-,-,0,-,-,0,【出】：登録者数を１０万人得る。【出】：あなたの登録者数が５０万人を達成している場合、カードを１枚引く。,-
WXK08-009,月ノ美兎　レベル１´,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-009.jpg,ルリグ,にじさんじ,白,1,《白》×０,-,2,-,-,-,-,0,-,-,0,【出】：登録者数を１０万人得る。【出】手札を１枚捨てる：【エナチャージ１】,-
WXK08-010,エース・スパイク,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK08/WXK08-010.jpg,アーツ,-,白,-,-,《白》×１,-,-,-,-,アタックフェイズ,0,-,-,0,対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。その後、あなたのキー１枚を場からルリグトラッシュに置いてもよい。そうした場合、対戦相手のシグニ１体を対象とし、それをトラッシュに置く。,-
